Tanggal,Produsen,Pasar Tradisional
4/1/2021,9450,11800
5/1/2021,9500,11800
6/1/2021,9650,11800
7/1/2021,9750,11800
8/1/2021,9800,11800
11/1/2021,9700,11800
12/1/2021,10250,11800
13/01/2021,10250,11800
14/01/2021,10250,11800
15/01/2021,10250,11800
18/01/2021,10250,11800
19/01/2021,10250,11800
20/01/2021,9500,11800
21/01/2021,9000,11800
22/01/2021,8300,11800
25/01/2021,9600,11800
26/01/2021,9600,11800
27/01/2021,9600,11850
28/01/2021,9600,11800
29/01/2021,9600,11850
1/2/2021,9600,11800
2/2/2021,9600,11800
3/2/2021,9600,11800
4/2/2021,9600,11800
5/2/2021,9650,11800
8/2/2021,9900,11800
9/2/2021,9900,11800
10/2/2021,9600,11800
11/2/2021,9900,11800
15/02/2021,8500,11800
16/02/2021,8500,11800
17/02/2021,8500,11800
18/02/2021,8500,11800
19/02/2021,8500,11800
22/02/2021,6900,11800
23/02/2021,7200,11800
24/02/2021,8650,11800
25/02/2021,9400,11800
26/02/2021,9400,11800
1/3/2021,9400,11800
2/3/2021,9450,11800
3/3/2021,9450,11800
4/3/2021,9450,11800
5/3/2021,9450,11800
8/3/2021,9450,11800
9/3/2021,9600,11800
10/3/2021,9650,11800
12/3/2021,9650,11800
15/03/2021,9600,11800
16/03/2021,9650,11800
17/03/2021,9650,11800
18/03/2021,9450,11850
19/03/2021,9600,11800
22/03/2021,6100,11800
23/03/2021,7600,11800
24/03/2021,8500,11800
25/03/2021,9450,11800
26/03/2021,9450,11800
29/03/2021,9450,11800
30/03/2021,9450,11800
31/03/2021,9450,11800
1/4/2021,9450,11800
5/4/2021,9450,11800
6/4/2021,9650,11800
7/4/2021,9700,11800
8/4/2021,9750,11800
9/4/2021,9750,11800
12/4/2021,9650,11800
13/04/2021,9700,11800
14/04/2021,9750,11800
15/04/2021,9450,11800
16/04/2021,9650,11800
19/04/2021,9450,11800
20/04/2021,9450,11750
21/04/2021,7350,11750
22/04/2021,7250,11800
23/04/2021,8550,11750
26/04/2021,9250,11750
27/04/2021,9300,11750
28/04/2021,9300,11750
29/04/2021,9300,11750
30/04/2021,9300,11750
3/5/2021,9300,11750
4/5/2021,9300,11750
5/5/2021,9300,11750
6/5/2021,9350,11750
7/5/2021,9600,11750
10/5/2021,9750,11750
11/5/2021,9750,11750
17/05/2021,9600,11750
18/05/2021,9300,11750
19/05/2021,9300,11750
20/05/2021,9750,11750
21/05/2021,8150,11750
24/05/2021,7850,11750
25/05/2021,9250,11750
27/05/2021,9250,11750
28/05/2021,9250,11750
31/05/2021,9250,11700
2/6/2021,9250,11750
3/6/2021,9250,11750
4/6/2021,9250,11750
7/6/2021,9300,11750
8/6/2021,9450,11750
9/6/2021,9450,11750
10/6/2021,9300,11700
11/6/2021,9450,11700
14/06/2021,9450,11750
15/06/2021,9300,11750
16/06/2021,9300,11750
17/06/2021,9300,11750
18/06/2021,9450,11750
21/06/2021,9300,11750
22/06/2021,7300,11750
23/06/2021,7550,11750
24/06/2021,8250,11750
25/06/2021,9150,11750
28/06/2021,9150,11750
29/06/2021,9150,11750
30/06/2021,9150,11700
1/7/2021,9150,11750
2/7/2021,9150,11700
5/7/2021,9150,11700
6/7/2021,9150,11750
7/7/2021,9500,11700
8/7/2021,9550,11700
9/7/2021,9500,11700
12/7/2021,9500,11700
13/07/2021,9500,11700
14/07/2021,9550,11700
15/07/2021,9500,11700
16/07/2021,9150,11700
19/07/2021,9500,11700
21/07/2021,7150,11750
22/07/2021,7550,11700
23/07/2021,8350,11700
26/07/2021,9150,11700
27/07/2021,9150,11700
28/07/2021,9150,11750
29/07/2021,9150,11700
30/07/2021,9150,11700
2/8/2021,9150,11700
3/8/2021,9150,11700
4/8/2021,9150,11700
5/8/2021,9200,11700
6/8/2021,9350,11700
9/8/2021,9500,11700
10/8/2021,9500,11700
12/8/2021,9500,11700
13/08/2021,9500,11650
16/08/2021,9350,11700
18/08/2021,9500,11700
19/08/2021,9500,11650
20/08/2021,9200,11650
23/08/2021,6750,11650
24/08/2021,8200,11650
25/08/2021,9200,11650
26/08/2021,9200,11650
27/08/2021,9200,11650
30/08/2021,9150,11650
31/08/2021,9150,11650
1/9/2021,9150,11650
2/9/2021,9150,11650
3/9/2021,9150,11650
6/9/2021,9150,11650
7/9/2021,9450,11650
8/9/2021,9450,11700
9/9/2021,9000,11700
10/9/2021,9000,11650
13/09/2021,9000,11650
14/09/2021,9000,11650
15/09/2021,9000,11650
16/09/2021,9000,11650
17/09/2021,9000,11650
20/09/2021,9000,11650
21/09/2021,9000,11650
22/09/2021,6350,11650
23/09/2021,6900,11650
