Provinsi,0,SEMUA PROVINSI
4/1/2021,1,11800
5/1/2021,2,11800
6/1/2021,3,11800
7/1/2021,4,11800
8/1/2021,5,11800
11/1/2021,6,11800
12/1/2021,7,11800
13/01/2021,8,11800
14/01/2021,9,11800
15/01/2021,10,11800
18/01/2021,11,11800
19/01/2021,12,11800
20/01/2021,13,11800
21/01/2021,14,11800
22/01/2021,15,11800
25/01/2021,16,11800
26/01/2021,17,11800
27/01/2021,18,11850
28/01/2021,19,11800
29/01/2021,20,11850
1/2/2021,21,11800
2/2/2021,22,11800
3/2/2021,23,11800
4/2/2021,24,11800
5/2/2021,25,11800
8/2/2021,26,11800
9/2/2021,27,11800
10/2/2021,28,11800
11/2/2021,29,11800
15/02/2021,30,11800
16/02/2021,31,11800
17/02/2021,32,11800
18/02/2021,33,11800
19/02/2021,34,11800
22/02/2021,35,11800
23/02/2021,36,11800
24/02/2021,37,11800
25/02/2021,38,11800
26/02/2021,39,11800
1/3/2021,40,11800
2/3/2021,41,11800
3/3/2021,42,11800
4/3/2021,43,11800
5/3/2021,44,11800
8/3/2021,45,11800
9/3/2021,46,11800
10/3/2021,47,11800
12/3/2021,48,11800
15/03/2021,49,11800
16/03/2021,50,11800
17/03/2021,51,11800
18/03/2021,52,11850
19/03/2021,53,11800
22/03/2021,54,11800
23/03/2021,55,11800
24/03/2021,56,11800
25/03/2021,57,11800
26/03/2021,58,11800
29/03/2021,59,11800
30/03/2021,60,11800
31/03/2021,61,11800
1/4/2021,62,11800
5/4/2021,63,11800
6/4/2021,64,11800
7/4/2021,65,11800
8/4/2021,66,11800
9/4/2021,67,11800
12/4/2021,68,11800
13/04/2021,69,11800
14/04/2021,70,11800
15/04/2021,71,11800
16/04/2021,72,11800
19/04/2021,73,11800
20/04/2021,74,11750
21/04/2021,75,11750
22/04/2021,76,11800
23/04/2021,77,11750
26/04/2021,78,11750
27/04/2021,79,11750
28/04/2021,80,11750
29/04/2021,81,11750
30/04/2021,82,11750
3/5/2021,83,11750
4/5/2021,84,11750
5/5/2021,85,11750
6/5/2021,86,11750
7/5/2021,87,11750
10/5/2021,88,11750
11/5/2021,89,11750
17/05/2021,90,11750
18/05/2021,91,11750
19/05/2021,92,11750
20/05/2021,93,11750
21/05/2021,94,11750
24/05/2021,95,11750
25/05/2021,96,11750
27/05/2021,97,11750
28/05/2021,98,11750
31/05/2021,99,11700
2/6/2021,100,11750
3/6/2021,101,11750
4/6/2021,102,11750
7/6/2021,103,11750
8/6/2021,104,11750
9/6/2021,105,11750
10/6/2021,106,11700
11/6/2021,107,11700
14/06/2021,108,11750
15/06/2021,109,11750
16/06/2021,110,11750
17/06/2021,111,11750
18/06/2021,112,11750
21/06/2021,113,11750
22/06/2021,114,11750
23/06/2021,115,11750
24/06/2021,116,11750
25/06/2021,117,11750
28/06/2021,118,11750
29/06/2021,119,11750
30/06/2021,120,11700
1/7/2021,121,11750
2/7/2021,122,11700
5/7/2021,123,11700
6/7/2021,124,11750
7/7/2021,125,11700
8/7/2021,126,11700
9/7/2021,127,11700
12/7/2021,128,11700
13/07/2021,129,11700
14/07/2021,130,11700
15/07/2021,131,11700
16/07/2021,132,11700
19/07/2021,133,11700
21/07/2021,134,11750
22/07/2021,135,11700
23/07/2021,136,11700
26/07/2021,137,11700
27/07/2021,138,11700
28/07/2021,139,11750
29/07/2021,140,11700
30/07/2021,141,11700
2/8/2021,142,11700
3/8/2021,143,11700
4/8/2021,144,11700
5/8/2021,145,11700
6/8/2021,146,11700
9/8/2021,147,11700
10/8/2021,148,11700
12/8/2021,149,11700
13/08/2021,150,11650
16/08/2021,151,11700
18/08/2021,152,11700
19/08/2021,153,11650
20/08/2021,154,11650
23/08/2021,155,11650
24/08/2021,156,11650
25/08/2021,157,11650
26/08/2021,158,11650
27/08/2021,159,11650
30/08/2021,160,11650
31/08/2021,161,11650
1/9/2021,162,11650
2/9/2021,163,11650
3/9/2021,164,11650
6/9/2021,165,11650
7/9/2021,166,11650
8/9/2021,167,11700
9/9/2021,168,11700
10/9/2021,169,11650
13/09/2021,170,11650
14/09/2021,171,11650
15/09/2021,172,11650
16/09/2021,173,11650
17/09/2021,174,11650
20/09/2021,175,11650
21/09/2021,176,11650
22/09/2021,177,11650
23/09/2021,178,11650
